App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,2.2,"1,000,000",Free,0,Everyone,Communication,20-Mar-18,1.4.1.0,4.0.3 
InBrowser - Incognito Browsing,COMMUNICATION,4.2,27156,0,"1,000,000",Free,0,Everyone,Communication,31-May-18,0,0
Web Browser for Android,COMMUNICATION,4.1,55098,4.3,"1,000,000",Free,0,Everyone,Communication,20-Jun-18,2.2,4
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7,"10,000,000",Free,0,Everyone,Communication,1-Apr-16,6.4.0.4,4
Lightning Web Browser,COMMUNICATION,4.1,12578,2.3,"500,000",Free,0,Everyone,Communication,10-Jul-17,4.5.1,4
Web Browser,COMMUNICATION,4.2,10965,2.3,"500,000",Free,0,Everyone,Communication,2-Feb-15,2,3
Puffin Browser Pro,COMMUNICATION,4,18247,0,"100,000",Paid,$3.99 ,Everyone,Communication,5-Jul-18,7.5.3.20547,4.1
Contacts+,COMMUNICATION,4.2,190613,11,"10,000,000",Free,0,Everyone,Communication,31-Jul-18,5.85.1,4.0.3 
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7,"10,000,000",Free,0,Everyone,Communication,5-Mar-17,196,2.1
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14,"5,000,000",Free,0,Everyone,Communication,19-Apr-18,3.0.4,4
Viber Messenger,COMMUNICATION,4.3,11334973,0,"500,000,000",Free,0,Everyone,Communication,18-Jul-18,0,0
PHONE for Google Voice & GTalk,COMMUNICATION,4.3,72065,13,"1,000,000",Free,0,Everyone,Communication,18-Apr-18,3.0.7,4
Safest Call Blocker,COMMUNICATION,4.4,27540,3.7,"1,000,000",Free,0,Everyone,Communication,5-Jan-18,1.26.001,4
Full Screen Caller ID,COMMUNICATION,4.2,104990,10,"5,000,000",Free,0,Everyone,Communication,15-May-18,3.5.0,4.0.3 
Hiya - Caller ID & Block,COMMUNICATION,4.4,177703,13,"10,000,000",Free,0,Mature 17+,Communication,25-Jul-18,8.1.2-6310,5
Call Blocker,COMMUNICATION,4.1,17529,10,"1,000,000",Free,0,Everyone,Communication,26-Jul-18,5.86,4.0.3 
Mr. Number-Block calls & spam,COMMUNICATION,4.2,177263,13,"10,000,000",Free,0,Mature 17+,Communication,13-Jul-18,5.1.2-6310,5
Should I Answer?,COMMUNICATION,4.8,237468,8.8,"1,000,000",Free,0,Everyone,Communication,26-Jul-18,2018.1.715,4
RocketDial Dialer & Contacts,COMMUNICATION,4.4,32254,5.5,"1,000,000",Free,0,Everyone,Communication,4-Dec-17,3.9.7,2.1
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20,"10,000,000",Free,0,Everyone,Communication,29-Jul-18,1.286,4.1
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552441,29,"10,000,000",Free,0,Everyone,Communication,1-Aug-18,6.19.1,4.1
CIA - Caller ID & Call Blocker,COMMUNICATION,4,60308,0,"5,000,000",Free,0,Everyone,Communication,22-Jun-18,0,0
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,0,"10,000,000",Free,0,Everyone,Communication,24-May-18,0,0
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11,"5,000,000",Free,0,Everyone,Communication,5-Jul-18,2.17.3,4.1
True Contact - Real Caller ID,COMMUNICATION,4.1,32283,0,"1,000,000",Free,0,Everyone,Communication,26-Jul-18,0,0
Video Caller Id,COMMUNICATION,4.2,15287,17,"1,000,000",Free,0,Everyone,Communication,24-Jan-18,2.2.245,4.0.3 
Sync.ME – Caller ID & Block,COMMUNICATION,4.5,205739,17,"5,000,000",Free,0,Everyone,Communication,26-Jul-18,4.5.4,4.1
Burner - Free Phone Number,COMMUNICATION,4.3,14873,0,"1,000,000",Free,0,Everyone,Communication,12-Jul-18,0,0
"Truecaller: Caller ID, SMS spam blocking & Dialer",COMMUNICATION,4.5,7820209,0,"100,000,000",Free,0,Everyone,Communication,1-Aug-18,0,0
Gmail,COMMUNICATION,4.3,4604483,0,"1,000,000,000",Free,0,Everyone,Communication,2-Aug-18,0,0
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4188142,16,"100,000,000",Free,0,Everyone,Communication,18-Jul-18,5.29.3,4.4
K-9 Mail,COMMUNICATION,4.2,88427,5.1,"5,000,000",Free,0,Everyone,Communication,6-Jan-18,5.403,4.0.3 
"myMail – Email for Hotmail, Gmail and Outlook Mail",COMMUNICATION,4.5,305218,0,"10,000,000",Free,0,Everyone,Communication,3-Aug-18,0,0
Email TypeApp - Mail App,COMMUNICATION,4.6,183374,44,"1,000,000",Free,0,Everyone,Communication,1-Aug-18,1.9.4.74,4.1
All Email Providers,COMMUNICATION,4.1,20901,7.3,"1,000,000",Free,0,Everyone,Communication,3-Apr-18,5.0.9,4.1
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMMUNICATION,4,122595,30,"1,000,000",Free,0,Everyone,Communication,19-Jul-18,9.8.376,5
Mail.Ru - Email App,COMMUNICATION,4.6,837842,0,"50,000,000",Free,0,Everyone,Communication,3-Aug-18,0,0
Mail1Click - Secure Mail,COMMUNICATION,4.1,255,1.6,"10,000",Free,0,Everyone,Communication,11-Apr-17,2.3,2.2
Daum Mail - Next Mail,COMMUNICATION,4.3,41420,19,"5,000,000",Free,0,Everyone,Communication,21-Jun-18,3.2.0,4
mail.com mail,COMMUNICATION,4.2,44706,0,"1,000,000",Free,0,Everyone,Communication,25-Jul-18,0,0
SolMail - All-in-One email app,COMMUNICATION,4.3,23707,0,"500,000",Free,0,Everyone,Communication,9-Aug-17,2.3.17,0
Hangouts,COMMUNICATION,4,3419513,0,"1,000,000,000",Free,0,Everyone,Communication,21-Jul-18,0,0
imo free video calls and chat,COMMUNICATION,4.3,4785988,11,"500,000,000",Free,0,Everyone,Communication,8-Jun-18,9.8.000000010501,4
free video calls and chat,COMMUNICATION,4.2,594728,0,"50,000,000",Free,0,Everyone,Communication,19-Jul-18,7.3(800241),4.4
Viber Messenger,COMMUNICATION,4.3,11335255,0,"500,000,000",Free,0,Everyone,Communication,18-Jul-18,0,0
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,0,"1,000,000,000",Free,0,Everyone,Communication,3-Aug-18,0,0
WeChat,COMMUNICATION,4.2,5387446,0,"100,000,000",Free,0,Everyone,Communication,31-Jul-18,0,0
Vonage Mobile® Call Video Text,COMMUNICATION,4.1,29208,23,"1,000,000",Free,0,Everyone,Communication,28-Sep-16,2.9.8,2.3.3 
JusTalk - Free Video Calls and Fun Video Chat,COMMUNICATION,4.6,191032,26,"5,000,000",Free,0,Everyone,Communication,4-Aug-18,7.2.29,4.0.3 
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,0,"10,000,000",Free,0,Everyone,Communication,29-Jul-18,0,0
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,0,"10,000,000",Free,0,Everyone,Communication,29-May-18,0,0
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,0,"500,000,000",Free,0,Everyone,Communication,26-Jul-18,0,0
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,0,"100,000,000",Free,0,Everyone,Communication,3-Aug-18,0,0
"Moco+ - Chat, Meet People",DATING,4.2,1545,0,"10,000",Paid,$3.99 ,Mature 17+,Dating,19-Jun-18,2.6.139,4.1
Calculator,DATING,2.6,57,6.2,"1,000",Paid,$6.99 ,Everyone,Dating,25-Oct-17,1.1.6,4
Truth or Dare Pro,DATING,0,0,20,50,Paid,$1.49 ,Teen,Dating,1-Sep-17,1,4
Ad Blocker for SayHi,DATING,0,4,1.2,100,Paid,$3.99 ,Teen,Dating,2-Aug-18,1.2,4.0.3 
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17,100,Paid,$7.99 ,Mature 17+,Dating,21-Jan-17,1.0.1,4
Zoosk Dating App: Meet Singles,DATING,4,516801,0,"10,000,000",Free,0,Mature 17+,Dating,2-Aug-18,0,0
OkCupid Dating,DATING,4.1,285726,15,"10,000,000",Free,0,Mature 17+,Dating,30-Jul-18,11.10.1,4.1
Match™ Dating - Meet Singles,DATING,3.7,76646,0,"10,000,000",Free,0,Mature 17+,Dating,23-Jul-18,0,0
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56,"100,000",Free,0,Mature 17+,Dating,1-Aug-18,2.5.2,4.1
Hinge: Dating & Relationships,DATING,4.2,7779,12,"500,000",Free,0,Mature 17+,Dating,3-Aug-18,6.1.3,5
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11,"5,000,000",Free,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1
BBW Dating & Plus Size Chat,DATING,4.4,12632,29,"1,000,000",Free,0,Mature 17+,Dating,27-Jul-18,3.5.0.1,4.1
"Moco - Chat, Meet People",DATING,4.2,313724,0,"10,000,000",Free,0,Mature 17+,Dating,4-Aug-18,2.6.141,4.1
CMB Free Dating App,DATING,4,48845,40,"1,000,000",Free,0,Mature 17+,Dating,1-Aug-18,4.19.0.2320,4.4
Hot or Not - Find someone right now,DATING,4.1,305708,0,"10,000,000",Free,0,Mature 17+,Dating,2-Aug-18,0,0
eharmony - Online Dating App,DATING,3.1,31320,53,"5,000,000",Free,0,Mature 17+,Dating,30-Jul-18,6.6.5,4.1
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1,"5,000,000",Free,0,Mature 17+,Dating,4-Aug-18,1.639,4
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24,"100,000",Free,0,Mature 17+,Dating,25-Jul-18,1.6.1,4.4
Clover Dating App,DATING,4.1,11633,23,"500,000",Free,0,Mature 17+,Dating,24-Jul-18,2.5.1,4.1
Black People Meet Singles Date,DATING,3.9,10212,5,"1,000,000",Free,0,Mature 17+,Dating,25-Jul-18,1.9.7,4.4
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,4.3,37053,44,"1,000,000",Free,0,Mature 17+,Dating,3-Aug-18,4.4B,4.1
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27,"10,000",Free,0,Mature 17+,Dating,3-Aug-18,1.308.us,4.1
stranger chat - anonymous chat,DATING,3.5,13202,6.1,"1,000,000",Free,0,Mature 17+,Dating,7-Jul-18,2.4.1,4.1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
